NAMEID,Birth,Variable,COU,Country,Year,Value
AGO,Angola,Outflows of foreign population by nationality,NLD,Netherlands,2012,32
AGO,Angola,Outflows of foreign population by nationality,NOR,Norway,2012,10
AGO,Angola,Outflows of foreign population by nationality,ESP,Spain,2012,190
AGO,Angola,Outflows of foreign population by nationality,SWE,Sweden,2012,1
AGO,Angola,Outflows of foreign population by nationality,CHE,Switzerland,2012,11
ATG,Antigua and Barbuda,Outflows of foreign population by nationality,AUS,Australia,2012,0
ATG,Antigua and Barbuda,Outflows of foreign population by nationality,AUT,Austria,2012,0
ATG,Antigua and Barbuda,Outflows of foreign population by nationality,FIN,Finland,2012,0
ATG,Antigua and Barbuda,Outflows of foreign population by nationality,DEU,Germany,2012,1
ATG,Antigua and Barbuda,Outflows of foreign population by nationality,HUN,Hungary,2012,0
ATG,Antigua and Barbuda,Outflows of foreign population by nationality,ISL,Iceland,2012,0
ATG,Antigua and Barbuda,Outflows of foreign population by nationality,JPN,Japan,2012,6
ATG,Antigua and Barbuda,Outflows of foreign population by nationality,KOR,Korea,2012,3
ATG,Antigua and Barbuda,Outflows of foreign population by nationality,LUX,Luxembourg,2012,0
ATG,Antigua and Barbuda,Outflows of foreign population by nationality,NOR,Norway,2012,0
ATG,Antigua and Barbuda,Outflows of foreign population by nationality,ESP,Spain,2012,0
ATG,Antigua and Barbuda,Outflows of foreign population by nationality,SWE,Sweden,2012,1
ATG,Antigua and Barbuda,Outflows of foreign population by nationality,CHE,Switzerland,2012,1
ARG,Argentina,Outflows of foreign population by nationality,AUS,Australia,2012,113
ARG,Argentina,Outflows of foreign population by nationality,AUT,Austria,2012,78
ARG,Argentina,Outflows of foreign population by nationality,DNK,Denmark,2012,27
ARG,Argentina,Outflows of foreign population by nationality,FIN,Finland,2012,8
ARG,Argentina,Outflows of foreign population by nationality,DEU,Germany,2012,758
ARG,Argentina,Outflows of foreign population by nationality,HUN,Hungary,2012,8
ARG,Argentina,Outflows of foreign population by nationality,ISL,Iceland,2012,2
ARG,Argentina,Outflows of foreign population by nationality,ITA,Italy,2012,171
ARG,Argentina,Outflows of foreign population by nationality,JPN,Japan,2012,280
ARG,Argentina,Outflows of foreign population by nationality,KOR,Korea,2012,51
ARG,Argentina,Outflows of foreign population by nationality,LUX,Luxembourg,2012,6
ARG,Argentina,Outflows of foreign population by nationality,NLD,Netherlands,2012,100
ARG,Argentina,Outflows of foreign population by nationality,NZL,New Zealand,2012,169
ARG,Argentina,Outflows of foreign population by nationality,NOR,Norway,2012,22
ARG,Argentina,Outflows of foreign population by nationality,ESP,Spain,2012,9134
ARG,Argentina,Outflows of foreign population by nationality,SWE,Sweden,2012,29
ARG,Argentina,Outflows of foreign population by nationality,CHE,Switzerland,2012,147
ARM,Armenia,Outflows of foreign population by nationality,AUT,Austria,2012,148
ARM,Armenia,Outflows of foreign population by nationality,CZE,Czech Republic,2012,98
ARM,Armenia,Outflows of foreign population by nationality,DNK,Denmark,2012,2
ARM,Armenia,Outflows of foreign population by nationality,FIN,Finland,2012,2
ARM,Armenia,Outflows of foreign population by nationality,DEU,Germany,2012,523
ARM,Armenia,Outflows of foreign population by nationality,HUN,Hungary,2012,4
ARM,Armenia,Outflows of foreign population by nationality,ISL,Iceland,2012,0
ARM,Armenia,Outflows of foreign population by nationality,ITA,Italy,2012,11
ARM,Armenia,Outflows of foreign population by nationality,JPN,Japan,2012,139
ARM,Armenia,Outflows of foreign population by nationality,KOR,Korea,2012,34
ARM,Armenia,Outflows of foreign population by nationality,LUX,Luxembourg,2012,0
ARM,Armenia,Outflows of foreign population by nationality,NLD,Netherlands,2012,30
ARM,Armenia,Outflows of foreign population by nationality,NOR,Norway,2012,0
ARM,Armenia,Outflows of foreign population by nationality,ESP,Spain,2012,644
ARM,Armenia,Outflows of foreign population by nationality,SWE,Sweden,2012,20
ARM,Armenia,Outflows of foreign population by nationality,CHE,Switzerland,2012,27
AUS,Australia,Outflows of foreign population by nationality,AUT,Austria,2012,231
AUS,Australia,Outflows of foreign population by nationality,BEL,Belgium,2012,190
AUS,Australia,Outflows of foreign population by nationality,CZE,Czech Republic,2012,16
AUS,Australia,Outflows of foreign population by nationality,DNK,Denmark,2012,356
AUS,Australia,Outflows of foreign population by nationality,FIN,Finland,2012,46
AUS,Australia,Outflows of foreign population by nationality,DEU,Germany,2012,1771
AUS,Australia,Outflows of foreign population by nationality,HUN,Hungary,2012,13
AUS,Australia,Outflows of foreign population by nationality,ISL,Iceland,2012,8
AUS,Australia,Outflows of foreign population by nationality,ITA,Italy,2012,55
AUS,Australia,Outflows of foreign population by nationality,JPN,Japan,2012,2584
AUS,Australia,Outflows of foreign population by nationality,KOR,Korea,2012,1421
AUS,Australia,Outflows of foreign population by nationality,LUX,Luxembourg,2012,18
AUS,Australia,Outflows of foreign population by nationality,NLD,Netherlands,2012,760
AUS,Australia,Outflows of foreign population by nationality,NZL,New Zealand,2012,2850
AUS,Australia,Outflows of foreign population by nationality,NOR,Norway,2012,177
AUS,Australia,Outflows of foreign population by nationality,ESP,Spain,2012,215
AUS,Australia,Outflows of foreign population by nationality,SWE,Sweden,2012,200
AUS,Australia,Outflows of foreign population by nationality,CHE,Switzerland,2012,390
AUS,Australia,Outflows of foreign population by nationality,GBR,United Kingdom,2012,8000
AUS,Australia,Outflows of foreign population by nationality,SVN,Slovenia,2012,1
AUT,Austria,Outflows of foreign population by nationality,AUS,Australia,2012,68
AUT,Austria,Outflows of foreign population by nationality,BEL,Belgium,2012,228
AUT,Austria,Outflows of foreign population by nationality,CZE,Czech Republic,2012,146
AUT,Austria,Outflows of foreign population by nationality,DNK,Denmark,2012,214
AUT,Austria,Outflows of foreign population by nationality,FIN,Finland,2012,19
AUT,Austria,Outflows of foreign population by nationality,DEU,Germany,2012,7665
AUT,Austria,Outflows of foreign population by nationality,HUN,Hungary,2012,199
AUT,Austria,Outflows of foreign population by nationality,ISL,Iceland,2012,22
AUT,Austria,Outflows of foreign population by nationality,ITA,Italy,2012,185
AUT,Austria,Outflows of foreign population by nationality,JPN,Japan,2012,1144
AUT,Austria,Outflows of foreign population by nationality,KOR,Korea,2012,109
AUT,Austria,Outflows of foreign population by nationality,LUX,Luxembourg,2012,53
AUT,Austria,Outflows of foreign population by nationality,NLD,Netherlands,2012,437
AUT,Austria,Outflows of foreign population by nationality,NZL,New Zealand,2012,43
AUT,Austria,Outflows of foreign population by nationality,NOR,Norway,2012,55
AUT,Austria,Outflows of foreign population by nationality,SVK,Slovak Republic,2012,3
AUT,Austria,Outflows of foreign population by nationality,ESP,Spain,2012,433
AUT,Austria,Outflows of foreign population by nationality,SWE,Sweden,2012,122
AUT,Austria,Outflows of foreign population by nationality,CHE,Switzerland,2012,1777
AUT,Austria,Outflows of foreign population by nationality,GBR,United Kingdom,2012,1000
AUT,Austria,Outflows of foreign population by nationality,SVN,Slovenia,2012,23
AZE,Azerbaijan,Outflows of foreign population by nationality,AUT,Austria,2012,79
AZE,Azerbaijan,Outflows of foreign population by nationality,DNK,Denmark,2012,3
AZE,Azerbaijan,Outflows of foreign population by nationality,FIN,Finland,2012,2
AZE,Azerbaijan,Outflows of foreign population by nationality,DEU,Germany,2012,686
AZE,Azerbaijan,Outflows of foreign population by nationality,HUN,Hungary,2012,15
AZE,Azerbaijan,Outflows of foreign population by nationality,ISL,Iceland,2012,0
AZE,Azerbaijan,Outflows of foreign population by nationality,ITA,Italy,2012,2
AZE,Azerbaijan,Outflows of foreign population by nationality,JPN,Japan,2012,83
AZE,Azerbaijan,Outflows of foreign population by nationality,KOR,Korea,2012,46
AZE,Azerbaijan,Outflows of foreign population by nationality,LUX,Luxembourg,2012,1
AZE,Azerbaijan,Outflows of foreign population by nationality,NLD,Netherlands,2012,30
AZE,Azerbaijan,Outflows of foreign population by nationality,NOR,Norway,2012,32
AZE,Azerbaijan,Outflows of foreign population by nationality,ESP,Spain,2012,31
AZE,Azerbaijan,Outflows of foreign population by nationality,SWE,Sweden,2012,23
AZE,Azerbaijan,Outflows of foreign population by nationality,CHE,Switzerland,2012,46
BHS,Bahamas,Outflows of foreign population by nationality,AUT,Austria,2012,0
BHS,Bahamas,Outflows of foreign population by nationality,DNK,Denmark,2012,1
BHS,Bahamas,Outflows of foreign population by nationality,FIN,Finland,2012,0
BHS,Bahamas,Outflows of foreign population by nationality,DEU,Germany,2012,4
BHS,Bahamas,Outflows of foreign population by nationality,HUN,Hungary,2012,0
BHS,Bahamas,Outflows of foreign population by nationality,ISL,Iceland,2012,0
BHS,Bahamas,Outflows of foreign population by nationality,ITA,Italy,2012,0
BHS,Bahamas,Outflows of foreign population by nationality,JPN,Japan,2012,3
BHS,Bahamas,Outflows of foreign population by nationality,KOR,Korea,2012,1
BHS,Bahamas,Outflows of foreign population by nationality,LUX,Luxembourg,2012,0
BHS,Bahamas,Outflows of foreign population by nationality,NLD,Netherlands,2012,3
BHS,Bahamas,Outflows of foreign population by nationality,NZL,New Zealand,2012,0.005
BHS,Bahamas,Outflows of foreign population by nationality,NOR,Norway,2012,1
BHS,Bahamas,Outflows of foreign population by nationality,ESP,Spain,2012,2
BHS,Bahamas,Outflows of foreign population by nationality,SWE,Sweden,2012,2
BHS,Bahamas,Outflows of foreign population by nationality,CHE,Switzerland,2012,2
BHR,Bahrain,Outflows of foreign population by nationality,AUS,Australia,2012,16
BHR,Bahrain,Outflows of foreign population by nationality,AUT,Austria,2012,0
BHR,Bahrain,Outflows of foreign population by nationality,DNK,Denmark,2012,0
BHR,Bahrain,Outflows of foreign population by nationality,FIN,Finland,2012,0
BHR,Bahrain,Outflows of foreign population by nationality,DEU,Germany,2012,63
BHR,Bahrain,Outflows of foreign population by nationality,HUN,Hungary,2012,0
BHR,Bahrain,Outflows of foreign population by nationality,ISL,Iceland,2012,1
BHR,Bahrain,Outflows of foreign population by nationality,ITA,Italy,2012,0
BHR,Bahrain,Outflows of foreign population by nationality,JPN,Japan,2012,126
BHR,Bahrain,Outflows of foreign population by nationality,KOR,Korea,2012,3
BHR,Bahrain,Outflows of foreign population by nationality,LUX,Luxembourg,2012,0
BHR,Bahrain,Outflows of foreign population by nationality,NLD,Netherlands,2012,4
BHR,Bahrain,Outflows of foreign population by nationality,NZL,New Zealand,2012,4
BHR,Bahrain,Outflows of foreign population by nationality,NOR,Norway,2012,0
BHR,Bahrain,Outflows of foreign population by nationality,ESP,Spain,2012,0
BHR,Bahrain,Outflows of foreign population by nationality,SWE,Sweden,2012,3
BHR,Bahrain,Outflows of foreign population by nationality,CHE,Switzerland,2012,13
BGD,Bangladesh,Outflows of foreign population by nationality,AUS,Australia,2012,140
BGD,Bangladesh,Outflows of foreign population by nationality,AUT,Austria,2012,85
BGD,Bangladesh,Outflows of foreign population by nationality,DNK,Denmark,2012,72
BGD,Bangladesh,Outflows of foreign population by nationality,FIN,Finland,2012,16
BGD,Bangladesh,Outflows of foreign population by nationality,DEU,Germany,2012,440
BGD,Bangladesh,Outflows of foreign population by nationality,HUN,Hungary,2012,1
BGD,Bangladesh,Outflows of foreign population by nationality,ISL,Iceland,2012,1
BGD,Bangladesh,Outflows of foreign population by nationality,ITA,Italy,2012,770
BGD,Bangladesh,Outflows of foreign population by nationality,JPN,Japan,2012,740
BGD,Bangladesh,Outflows of foreign population by nationality,KOR,Korea,2012,1558
BGD,Bangladesh,Outflows of foreign population by nationality,LUX,Luxembourg,2012,5
BGD,Bangladesh,Outflows of foreign population by nationality,NLD,Netherlands,2012,66
BGD,Bangladesh,Outflows of foreign population by nationality,NZL,New Zealand,2012,21
BGD,Bangladesh,Outflows of foreign population by nationality,NOR,Norway,2012,40
BGD,Bangladesh,Outflows of foreign population by nationality,ESP,Spain,2012,1721
BGD,Bangladesh,Outflows of foreign population by nationality,SWE,Sweden,2012,238
BGD,Bangladesh,Outflows of foreign population by nationality,CHE,Switzerland,2012,26
BGD,Bangladesh,Outflows of foreign population by nationality,GBR,United Kingdom,2012,1000
BRB,Barbados,Outflows of foreign population by nationality,AUT,Austria,2012,0
BRB,Barbados,Outflows of foreign population by nationality,DNK,Denmark,2012,0
BRB,Barbados,Outflows of foreign population by nationality,FIN,Finland,2012,1
BRB,Barbados,Outflows of foreign population by nationality,DEU,Germany,2012,5
BRB,Barbados,Outflows of foreign population by nationality,HUN,Hungary,2012,0
BRB,Barbados,Outflows of foreign population by nationality,ISL,Iceland,2012,0
BRB,Barbados,Outflows of foreign population by nationality,ITA,Italy,2012,0
BRB,Barbados,Outflows of foreign population by nationality,JPN,Japan,2012,10
BRB,Barbados,Outflows of foreign population by nationality,KOR,Korea,2012,0
BRB,Barbados,Outflows of foreign population by nationality,LUX,Luxembourg,2012,0
BRB,Barbados,Outflows of foreign population by nationality,NLD,Netherlands,2012,4
BRB,Barbados,Outflows of foreign population by nationality,NOR,Norway,2012,0
BRB,Barbados,Outflows of foreign population by nationality,ESP,Spain,2012,2
BRB,Barbados,Outflows of foreign population by nationality,SWE,Sweden,2012,0
BRB,Barbados,Outflows of foreign population by nationality,CHE,Switzerland,2012,3
BLR,Belarus,Outflows of foreign population by nationality,AUS,Australia,2012,16
BLR,Belarus,Outflows of foreign population by nationality,AUT,Austria,2012,75
BLR,Belarus,Outflows of foreign population by nationality,CZE,Czech Republic,2012,170
BLR,Belarus,Outflows of foreign population by nationality,DNK,Denmark,2012,36
BLR,Belarus,Outflows of foreign population by nationality,FIN,Finland,2012,2
BLR,Belarus,Outflows of foreign population by nationality,DEU,Germany,2012,804
BLR,Belarus,Outflows of foreign population by nationality,HUN,Hungary,2012,5
BLR,Belarus,Outflows of foreign population by nationality,ISL,Iceland,2012,3
BLR,Belarus,Outflows of foreign population by nationality,ITA,Italy,2012,64
BLR,Belarus,Outflows of foreign population by nationality,JPN,Japan,2012,194
BLR,Belarus,Outflows of foreign population by nationality,KOR,Korea,2012,70
BLR,Belarus,Outflows of foreign population by nationality,LUX,Luxembourg,2012,16
BLR,Belarus,Outflows of foreign population by nationality,NLD,Netherlands,2012,40
BLR,Belarus,Outflows of foreign population by nationality,NOR,Norway,2012,16
BLR,Belarus,Outflows of foreign population by nationality,ESP,Spain,2012,233
BLR,Belarus,Outflows of foreign population by nationality,SWE,Sweden,2012,34
BLR,Belarus,Outflows of foreign population by nationality,CHE,Switzerland,2012,38
BLR,Belarus,Outflows of foreign population by nationality,SVN,Slovenia,2012,2
BEL,Belgium,Outflows of foreign population by nationality,AUS,Australia,2012,35
BEL,Belgium,Outflows of foreign population by nationality,AUT,Austria,2012,208
BEL,Belgium,Outflows of foreign population by nationality,CZE,Czech Republic,2012,4
BEL,Belgium,Outflows of foreign population by nationality,DNK,Denmark,2012,209
BEL,Belgium,Outflows of foreign population by nationality,FIN,Finland,2012,16
BEL,Belgium,Outflows of foreign population by nationality,DEU,Germany,2012,1593
BEL,Belgium,Outflows of foreign population by nationality,HUN,Hungary,2012,44
BEL,Belgium,Outflows of foreign population by nationality,ISL,Iceland,2012,8
BEL,Belgium,Outflows of foreign population by nationality,ITA,Italy,2012,153
BEL,Belgium,Outflows of foreign population by nationality,JPN,Japan,2012,444
BEL,Belgium,Outflows of foreign population by nationality,KOR,Korea,2012,98
BEL,Belgium,Outflows of foreign population by nationality,LUX,Luxembourg,2012,666
BEL,Belgium,Outflows of foreign population by nationality,NLD,Netherlands,2012,1691
BEL,Belgium,Outflows of foreign population by nationality,NZL,New Zealand,2012,49
BEL,Belgium,Outflows of foreign population by nationality,NOR,Norway,2012,38
BEL,Belgium,Outflows of foreign population by nationality,ESP,Spain,2012,937
BEL,Belgium,Outflows of foreign population by nationality,SWE,Sweden,2012,92
BEL,Belgium,Outflows of foreign population by nationality,CHE,Switzerland,2012,580
BEL,Belgium,Outflows of foreign population by nationality,SVN,Slovenia,2012,4
BLZ,Belize,Outflows of foreign population by nationality,AUS,Australia,2012,0
BLZ,Belize,Outflows of foreign population by nationality,AUT,Austria,2012,0
BLZ,Belize,Outflows of foreign population by nationality,DNK,Denmark,2012,0
BLZ,Belize,Outflows of foreign population by nationality,FIN,Finland,2012,0
BLZ,Belize,Outflows of foreign population by nationality,DEU,Germany,2012,2
BLZ,Belize,Outflows of foreign population by nationality,HUN,Hungary,2012,0
BLZ,Belize,Outflows of foreign population by nationality,ISL,Iceland,2012,0
BLZ,Belize,Outflows of foreign population by nationality,ITA,Italy,2012,0
BLZ,Belize,Outflows of foreign population by nationality,JPN,Japan,2012,15
BLZ,Belize,Outflows of foreign population by nationality,KOR,Korea,2012,3
BLZ,Belize,Outflows of foreign population by nationality,LUX,Luxembourg,2012,1
BLZ,Belize,Outflows of foreign population by nationality,NOR,Norway,2012,1
BLZ,Belize,Outflows of foreign population by nationality,ESP,Spain,2012,2
BLZ,Belize,Outflows of foreign population by nationality,SWE,Sweden,2012,0
BLZ,Belize,Outflows of foreign population by nationality,CHE,Switzerland,2012,0
BEN,Benin,Outflows of foreign population by nationality,AUT,Austria,2012,5
BEN,Benin,Outflows of foreign population by nationality,DNK,Denmark,2012,2
BEN,Benin,Outflows of foreign population by nationality,FIN,Finland,2012,0
BEN,Benin,Outflows of foreign population by nationality,DEU,Germany,2012,179
BEN,Benin,Outflows of foreign population by nationality,HUN,Hungary,2012,0
BEN,Benin,Outflows of foreign population by nationality,ITA,Italy,2012,19
BEN,Benin,Outflows of foreign population by nationality,JPN,Japan,2012,75
BEN,Benin,Outflows of foreign population by nationality,KOR,Korea,2012,6
BEN,Benin,Outflows of foreign population by nationality,LUX,Luxembourg,2012,0
BEN,Benin,Outflows of foreign population by nationality,NLD,Netherlands,2012,9
BEN,Benin,Outflows of foreign population by nationality,NOR,Norway,2012,0
BEN,Benin,Outflows of foreign population by nationality,ESP,Spain,2012,35
BEN,Benin,Outflows of foreign population by nationality,SWE,Sweden,2012,0
BEN,Benin,Outflows of foreign population by nationality,CHE,Switzerland,2012,12
BMU,Bermuda,Outflows of foreign population by nationality,FIN,Finland,2012,0
BMU,Bermuda,Outflows of foreign population by nationality,HUN,Hungary,2012,0
BMU,Bermuda,Outflows of foreign population by nationality,ISL,Iceland,2012,0
BMU,Bermuda,Outflows of foreign population by nationality,JPN,Japan,2012,0
BMU,Bermuda,Outflows of foreign population by nationality,LUX,Luxembourg,2012,0
BMU,Bermuda,Outflows of foreign population by nationality,NOR,Norway,2012,0
BMU,Bermuda,Outflows of foreign population by nationality,ESP,Spain,2012,0
BMU,Bermuda,Outflows of foreign population by nationality,SWE,Sweden,2012,0
BTN,Bhutan,Outflows of foreign population by nationality,AUS,Australia,2012,0
BTN,Bhutan,Outflows of foreign population by nationality,AUT,Austria,2012,11
BTN,Bhutan,Outflows of foreign population by nationality,DNK,Denmark,2012,8
BTN,Bhutan,Outflows of foreign population by nationality,FIN,Finland,2012,1
BTN,Bhutan,Outflows of foreign population by nationality,DEU,Germany,2012,22
BTN,Bhutan,Outflows of foreign population by nationality,HUN,Hungary,2012,0
BTN,Bhutan,Outflows of foreign population by nationality,JPN,Japan,2012,212
BTN,Bhutan,Outflows of foreign population by nationality,KOR,Korea,2012,15
BTN,Bhutan,Outflows of foreign population by nationality,LUX,Luxembourg,2012,0
BTN,Bhutan,Outflows of foreign population by nationality,NLD,Netherlands,2012,13
BTN,Bhutan,Outflows of foreign population by nationality,NZL,New Zealand,2012,1
BTN,Bhutan,Outflows of foreign population by nationality,NOR,Norway,2012,9
BTN,Bhutan,Outflows of foreign population by nationality,ESP,Spain,2012,0
BTN,Bhutan,Outflows of foreign population by nationality,SWE,Sweden,2012,4
BTN,Bhutan,Outflows of foreign population by nationality,CHE,Switzerland,2012,0
BOL,Bolivia,Outflows of foreign population by nationality,AUS,Australia,2012,5
BOL,Bolivia,Outflows of foreign population by nationality,AUT,Austria,2012,11
BOL,Bolivia,Outflows of foreign population by nationality,DNK,Denmark,2012,11
BOL,Bolivia,Outflows of foreign population by nationality,FIN,Finland,2012,2
BOL,Bolivia,Outflows of foreign population by nationality,DEU,Germany,2012,177
BOL,Bolivia,Outflows of foreign population by nationality,HUN,Hungary,2012,0
BOL,Bolivia,Outflows of foreign population by nationality,ISL,Iceland,2012,0
BOL,Bolivia,Outflows of foreign population by nationality,ITA,Italy,2012,112
BOL,Bolivia,Outflows of foreign population by nationality,JPN,Japan,2012,119
BOL,Bolivia,Outflows of foreign population by nationality,KOR,Korea,2012,11
BOL,Bolivia,Outflows of foreign population by nationality,LUX,Luxembourg,2012,0
BOL,Bolivia,Outflows of foreign population by nationality,NLD,Netherlands,2012,40
BOL,Bolivia,Outflows of foreign population by nationality,NZL,New Zealand,2012,0.001
BOL,Bolivia,Outflows of foreign population by nationality,NOR,Norway,2012,11
BOL,Bolivia,Outflows of foreign population by nationality,ESP,Spain,2012,15893
BOL,Bolivia,Outflows of foreign population by nationality,SWE,Sweden,2012,23
BOL,Bolivia,Outflows of foreign population by nationality,CHE,Switzerland,2012,67
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,AUS,Australia,2012,250
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,AUT,Austria,2012,2597
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,CZE,Czech Republic,2012,70
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,DNK,Denmark,2012,95
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,FIN,Finland,2012,8
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,DEU,Germany,2012,8982
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,HUN,Hungary,2012,21
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,ISL,Iceland,2012,3
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,ITA,Italy,2012,272
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,JPN,Japan,2012,41
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,KOR,Korea,2012,5
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,LUX,Luxembourg,2012,31
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,NLD,Netherlands,2012,177
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,NOR,Norway,2012,34
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,ESP,Spain,2012,98
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,SWE,Sweden,2012,50
BIH,Bosnia and Herzegovina,Outflows of foreign population by nationality,CHE,Switzerland,2012,238
